group,CRR1,CRR2,CRR_Congruent1,CRR_Congruent2,CRR_Incongruent1,CRR_Incongruent2,RT1,RT2,RT_Congruent1,RT_Congruent2,RT_Incongruent1,RT_Incongruent2,RT_Diff1,RT_Diff2,PES1,PES2,motivation1,motivation2,sleepness1,sleepness2,fatigue1,fatigue2
1,0.0145682769113732,0.00418410041841,0.0169277557812589,0.0195071104162013,0.0121929190751445,-0.012447033898305,-230.359188776219,-34.71096575606,-236.152152152152,-45.7535612535612,-225.04739195231,-21.0013535870056,11.1047601998421,24.7522076665556,20.7387249633831,-4.34423137776093,0,-0.0999999999999996,0,0.7,1,1.4
1,0.00185544929268788,-0.0251046025104602,0.00244444444444447,-0.00750387596899227,0.00067476383265852,-0.0464114832535886,-208.183104475949,-14.4953872898599,-198.231493553527,-5.01623931623931,-218.376837996096,-24.8300123435021,-20.1453444425689,-19.8137730272628,-38.6298386578389,-14.8749790950478,0.2,-0.6,-0.4,0.5,-0.9,0.2
1,0.0110414448519264,0.00756205819496958,-0.0307038261691072,-0.00775862068965516,0.0489728453364817,0.0210706574342938,-225.393673880662,47.3346339501207,-222.429192546584,2.64028242289112,-229.131376775549,98.7758243680573,-6.70218422896471,96.1355419451662,14.7522974693605,-90.8903820109791,0.2,0,3.6,1.5,0.5,1.7
1,0.00641733193007676,0.00418410041841,-0.0119760479041916,-0.00909090909090904,0.0241935483870968,0.0164416104026006,-223.127485479289,-2.09102377486658,-218.682142857143,12.013140161725,-225.377731887799,-16.0941607412195,-6.69558903065604,-28.1073009029445,45.6479388993513,60.8961417435457,-0.3,-0.6,0,0,0,0.4
1,-0.00664384430074805,0.00836820083682011,-0.00860655737704918,-0.00115041702617202,-0.00221216691804926,0.0203760683760683,-124.730470043032,13.7106603845859,-133.686021505376,1.38738738738743,-115.668541240627,25.8837099811676,18.0174802647492,24.4963225937802,-70.8634216894279,27.3849756139057,-0.1,-0.1,-0.1,0.6,-1.9,-2
1,-0.0180287385001215,-0.0210611441229211,0.000730424620179138,-0.00077714012434249,-0.0317188879082083,-0.041452089489236,-163.794045970645,-14.7330199764983,-157.562171899125,-25.2651486158949,-178.283345660749,-7.78303571428569,-20.7211737616243,17.4821129016092,8.81666488442147,28.0719110783592,-0.3,-0.4,0.2,-0.1,0.9,0.7
1,0.0191137314568277,-0.0125523012552301,0.0131891891891892,0.00614285714285712,0.025475365059355,-0.0252106644564166,-257.135241006409,-33.4103292371898,-252.321632912542,-30.6239297148388,-262.748154224774,-39.0383809063054,-10.4265213122324,-8.41445119146658,-18.2215370163501,-24.9253637771587,0.1,-1.1,-1.3,-1.5,-0.2,0.8
2,0.162851627137341,0.154238618524333,0.131452991452991,0.116470588235294,0.203785211267606,0.198775773195876,-168.352578052138,50.128731942215,-161.609578544061,41.6617135207496,-179.316605839416,54.1684782608696,-17.7070272953547,12.50676474012,53.824945583562,98.7927044261065,-1.3,-2.4,3.5,3.9,-1.5,0.2
2,0.0413161412060697,-0.0414723517654896,0.0327868852459017,-0.00958599611003053,0.050084697910785,-0.0758893280632411,-282.496410401357,71.4189178452249,-256.937552742616,77.0376811594203,-309.839285714286,67.2013305322129,-52.9017329716697,-9.83635062720748,46.1401706722396,13.0449758454107,0.7,0.4,-2.8,-1.7,-1.3,0.7
2,-0.0225405653638127,-0.0125523012552301,-0.0127356321839081,-0.0305116279069767,-0.0340624287992709,0.00749601275917067,-82.8456420856661,3.37271691665092,-83.2635743390505,11.2704918032788,-81.6262322365894,-5.71971270335757,1.63734210246105,-16.9902045066364,25.1553997583067,-2.74912102069152,0,-0.4,0,0,0,1
